Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
\textsc{Slope},1.5242505753862397e-05,0.12742304801940918,optdigits
\ensuremath{\tt PAS{\text -}IF},0.0014638575009776316,14.474900484085083,optdigits
IPS,2.3277632654631767e-06,0.00122833251953125,page-blocks
DM,0.00024879762175751124,0.00423884391784668,page-blocks
DR,1.3774494694724001e-05,0.002119302749633789,page-blocks
\ensuremath{\tt OCV_{IPS}},2.3277632654631767e-06,0.26331591606140137,page-blocks
\ensuremath{\tt OCV_{DR}},2.3277632654631767e-06,0.8450279235839844,page-blocks
\textsc{Slope},1.3774494694724001e-05,0.05188393592834473,page-blocks
\ensuremath{\tt PAS{\text -}IF},0.00024879762175751124,10.12162733078003,page-blocks
IPS,1.2733729079303776e-06,0.0076596736907958984,pendigits
DM,0.0036203084326499307,0.01613926887512207,pendigits
DR,1.5462316788933568e-05,0.009790420532226562,pendigits
\ensuremath{\tt OCV_{IPS}},1.2733729079303776e-06,0.6470015048980713,pendigits
\ensuremath{\tt OCV_{DR}},1.2733729079303776e-06,1.56638765335083,pendigits
\textsc{Slope},1.5462316788933568e-05,0.25147485733032227,pendigits
\ensuremath{\tt PAS{\text -}IF},0.0036203084326499307,34.014983892440796,pendigits
IPS,1.9939848624009542e-07,0.004750728607177734,satimage
DM,0.005249570457635924,0.014009952545166016,satimage
DR,0.00021259869210887316,0.007260799407958984,satimage
\ensuremath{\tt OCV_{IPS}},1.9939848624009542e-07,0.4219510555267334,satimage
\ensuremath{\tt OCV_{DR}},0.00021259869210887316,0.7201602458953857,satimage
\textsc{Slope},1.9939848624009542e-07,0.02852773666381836,satimage
\ensuremath{\tt PAS{\text -}IF},0.005249570457635924,29.406412839889526,satimage
IPS,2.7551603804906682e-05,0.001085042953491211,vehicle
DM,0.003542994820202474,0.006086826324462891,vehicle
DR,2.5222063580072143e-05,0.0017976760864257812,vehicle
\ensuremath{\tt OCV_{IPS}},2.5222063580072143e-05,0.16204047203063965,vehicle
\ensuremath{\tt OCV_{DR}},2.7551603804906682e-05,0.31599974632263184,vehicle
\textsc{Slope},2.5222063580072143e-05,0.009748220443725586,vehicle
\ensuremath{\tt PAS{\text -}IF},0.003542994820202474,5.798118591308594,vehicle
IPS,1.5470449375052499e-06,0.0010213851928710938,yeast
DM,4.029164986548621e-06,0.006263017654418945,yeast
DR,4.559562278943901e-08,0.0018534660339355469,yeast
\ensuremath{\tt OCV_{IPS}},4.559562278943901e-08,0.08790326118469238,yeast
\ensuremath{\tt OCV_{DR}},1.5470449375052499e-06,0.17020082473754883,yeast
\textsc{Slope},4.029164986548621e-06,0.005995988845825195,yeast
\ensuremath{\tt PAS{\text -}IF},1.5470449375052499e-06,7.306031942367554,yeast
IPS,5.1012735658141675e-05,0.0003833770751953125,ecoli
DM,0.00017009035592405956,0.002101421356201172,ecoli
