Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
DM,0.0011483402498605434,0.006001472473144531,page-blocks
DR,3.6388557244484115e-06,0.0030019283294677734,page-blocks
\ensuremath{\tt OCV_{IPS}},0.002542621469294209,0.09399724006652832,page-blocks
\ensuremath{\tt OCV_{DR}},3.6388557244484115e-06,0.21425080299377441,page-blocks
\textsc{Slope},3.6388557244484115e-06,0.014001131057739258,page-blocks
\ensuremath{\tt PAS{\text -}IF},0.0011483402498605434,27.36626100540161,page-blocks
IPS,4.813813751506281e-06,0.002999544143676758,pendigits
DM,0.04679017012157775,0.011001110076904297,pendigits
DR,9.173839116442179e-07,0.008002281188964844,pendigits
\ensuremath{\tt OCV_{IPS}},9.173839116442179e-07,0.2539033889770508,pendigits
\ensuremath{\tt OCV_{DR}},9.173839116442179e-07,0.5,pendigits
\textsc{Slope},9.173839116442179e-07,0.03499794006347656,pendigits
\ensuremath{\tt PAS{\text -}IF},0.04679017012157775,41.373783588409424,pendigits
IPS,0.00032738467209242713,0.0029985904693603516,satimage
DM,0.016104769463293863,0.008001089096069336,satimage
DR,4.644397902143141e-06,0.004001140594482422,satimage
\ensuremath{\tt OCV_{IPS}},4.644397902143141e-06,0.17176222801208496,satimage
\ensuremath{\tt OCV_{DR}},4.644397902143141e-06,0.3469994068145752,satimage
\textsc{Slope},4.644397902143141e-06,0.023000240325927734,satimage
\ensuremath{\tt PAS{\text -}IF},0.016104769463293863,26.00762128829956,satimage
IPS,2.774544509088098e-07,0.0,vehicle
DM,0.00667228225000644,0.003000020980834961,vehicle
DR,0.0005066429998696379,0.0009989738464355469,vehicle
\ensuremath{\tt OCV_{IPS}},2.774544509088098e-07,0.06400179862976074,vehicle
\ensuremath{\tt OCV_{DR}},0.0005066429998696379,0.12500429153442383,vehicle
\textsc{Slope},0.00667228225000644,0.00499725341796875,vehicle
\ensuremath{\tt PAS{\text -}IF},0.00667228225000644,11.565687894821167,vehicle
IPS,0.001343391610123595,0.002000093460083008,yeast
DM,0.0003833087442836227,0.006000041961669922,yeast
DR,3.6892878092145936e-05,0.0019998550415039062,yeast
\ensuremath{\tt OCV_{IPS}},3.6892878092145936e-05,0.10099983215332031,yeast
\ensuremath{\tt OCV_{DR}},3.6892878092145936e-05,0.18900036811828613,yeast
\textsc{Slope},0.0003833087442836227,0.006002664566040039,yeast
\ensuremath{\tt PAS{\text -}IF},0.0003833087442836227,19.241621255874634,yeast
IPS,0.052255486714349354,0.0009987354278564453,ecoli
DM,0.0014817927380839496,0.003998517990112305,ecoli
DR,0.0049419019083831,0.0009999275207519531,ecoli
\ensuremath{\tt OCV_{IPS}},0.052255486714349354,0.053999900817871094,ecoli
\ensuremath{\tt OCV_{DR}},0.0049419019083831,0.13600564002990723,ecoli
\textsc{Slope},0.0014817927380839496,0.0039958953857421875,ecoli
\ensuremath{\tt PAS{\text -}IF},0.0014817927380839496,11.85951852798462,ecoli
IPS,0.0180183060534544,0.0,glass
