Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
E: D + 100 K training/test splits,4.3446602687210357e-05,14.257937669754028,letter
IPS,8.220093409819458e-07,0.005345582962036133,optdigits
DM,0.017241136721448416,0.02098846435546875,optdigits
DR,0.00018300521558838756,0.015421867370605469,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.017241136721448416,0.41884326934814453,optdigits
B: A + one SE rule,0.00018300521558838756,0.2438218593597412,optdigits
C: A + theory split ratio,0.00018300521558838756,0.6667845249176025,optdigits
D: B + C,0.00018300521558838756,0.6918582916259766,optdigits
E: D + 100 K training/test splits,0.00018300521558838756,6.273497581481934,optdigits
IPS,0.002542621469294209,0.0,page-blocks
DM,0.0011483402498605434,0.011702537536621094,page-blocks
DR,3.6388557244484115e-06,0.0029091835021972656,page-blocks
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,3.6388557244484115e-06,0.10979509353637695,page-blocks
B: A + one SE rule,0.002542621469294209,0.06906867027282715,page-blocks
C: A + theory split ratio,3.6388557244484115e-06,0.20787668228149414,page-blocks
D: B + C,3.6388557244484115e-06,0.22287321090698242,page-blocks
E: D + 100 K training/test splits,3.6388557244484115e-06,2.0055978298187256,page-blocks
IPS,4.813813751506281e-06,0.004015445709228516,pendigits
DM,0.04679017012157775,0.010994911193847656,pendigits
DR,9.173839116442179e-07,0.00722193717956543,pendigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,9.173839116442179e-07,0.2593259811401367,pendigits
B: A + one SE rule,4.813813751506281e-06,0.1604900360107422,pendigits
C: A + theory split ratio,9.173839116442179e-07,0.513538122177124,pendigits
D: B + C,9.173839116442179e-07,0.517707347869873,pendigits
E: D + 100 K training/test splits,9.173839116442179e-07,4.832449913024902,pendigits
IPS,0.00032738467209242713,0.002948284149169922,satimage
DM,0.016104769463293863,0.007008075714111328,satimage
DR,4.644397902143141e-06,0.0050122737884521484,satimage
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,4.644397902143141e-06,0.19916629791259766,satimage
B: A + one SE rule,0.00032738467209242713,0.11648750305175781,satimage
C: A + theory split ratio,4.644397902143141e-06,0.37000131607055664,satimage
D: B + C,4.644397902143141e-06,0.3605830669403076,satimage
E: D + 100 K training/test splits,4.644397902143141e-06,3.650984048843384,satimage
IPS,2.774544509088098e-07,0.0,vehicle
DM,0.00667228225000644,0.0,vehicle
DR,0.0005066429998696379,0.0,vehicle
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,2.774544509088098e-07,0.04891085624694824,vehicle
B: A + one SE rule,0.00667228225000644,0.03278660774230957,vehicle
C: A + theory split ratio,0.0005066429998696379,0.1216132640838623,vehicle
D: B + C,0.0005066429998696379,0.12429094314575195,vehicle
E: D + 100 K training/test splits,0.0005066429998696379,1.1805095672607422,vehicle
IPS,0.001343391610123595,0.0010001659393310547,yeast
DM,0.0003833087442836227,0.0040323734283447266,yeast
DR,3.6892878092145936e-05,0.0010120868682861328,yeast
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,3.6892878092145936e-05,0.08109903335571289,yeast
B: A + one SE rule,3.6892878092145936e-05,0.03302741050720215,yeast
C: A + theory split ratio,3.6892878092145936e-05,0.17400836944580078,yeast
D: B + C,3.6892878092145936e-05,0.17411136627197266,yeast
E: D + 100 K training/test splits,3.6892878092145936e-05,1.6461718082427979,yeast
IPS,0.052255486714349354,0.0,ecoli
DM,0.0014817927380839496,0.0029189586639404297,ecoli
DR,0.0049419019083831,0.0,ecoli
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0014817927380839496,0.04362654685974121,ecoli
B: A + one SE rule,0.0049419019083831,0.019966840744018555,ecoli
C: A + theory split ratio,0.0049419019083831,0.1025400161743164,ecoli
D: B + C,0.0049419019083831,0.10167527198791504,ecoli
E: D + 100 K training/test splits,0.0049419019083831,0.9650881290435791,ecoli
IPS,0.0180183060534544,0.0,glass
DM,0.009109873950081067,0.0,glass
DR,0.013282235467655999,0.0,glass
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0180183060534544,0.05363273620605469,glass
B: A + one SE rule,0.0180183060534544,0.014391899108886719,glass
C: A + theory split ratio,0.0180183060534544,0.10410809516906738,glass
D: B + C,0.013282235467655999,0.10241341590881348,glass
E: D + 100 K training/test splits,0.013282235467655999,0.9566121101379395,glass
IPS,6.939764580691708e-05,0.015505552291870117,letter
DM,0.14623154032962546,0.041114091873168945,letter
DR,0.00026953474028187664,0.03403115272521973,letter
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.00026953474028187664,1.086634874343872,letter
B: A + one SE rule,0.00026953474028187664,0.8129048347473145,letter
C: A + theory split ratio,0.00026953474028187664,1.5261287689208984,letter
D: B + C,0.00026953474028187664,1.523719310760498,letter
E: D + 100 K training/test splits,0.00026953474028187664,14.241810321807861,letter
IPS,0.0019301393791768876,0.005048990249633789,optdigits
DM,0.015698690564974357,0.02089524269104004,optdigits
DR,5.168431736540909e-06,0.012022018432617188,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.015698690564974357,0.4973728656768799,optdigits
