Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
DR,0.0001240347964662713,0.03285670280456543,letter
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0001240347964662713,0.9820806980133057,letter
B: A + one SE rule,0.0001240347964662713,0.7383992671966553,letter
C: A + theory split ratio,0.0001240347964662713,1.487302541732788,letter
D: B + C,0.0001240347964662713,1.5286717414855957,letter
E: D + 100 K training/test splits,0.0001240347964662713,13.686652421951294,letter
IPS,0.0029133166154491985,0.0,optdigits
DM,0.016128967760278196,0.030311107635498047,optdigits
DR,0.0003152524836679433,0.010252237319946289,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.016128967760278196,0.3882739543914795,optdigits
B: A + one SE rule,0.0003152524836679433,0.24177074432373047,optdigits
C: A + theory split ratio,0.0003152524836679433,0.6634113788604736,optdigits
D: B + C,0.0003152524836679433,0.661034345626831,optdigits
E: D + 100 K training/test splits,0.0003152524836679433,6.4655115604400635,optdigits
IPS,0.0014431621404624691,0.0017278194427490234,page-blocks
DM,0.0009671480358422504,0.0053822994232177734,page-blocks
DR,5.462016318832163e-06,0.0019991397857666016,page-blocks
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,5.462016318832163e-06,0.11280584335327148,page-blocks
B: A + one SE rule,0.0014431621404624691,0.06669878959655762,page-blocks
C: A + theory split ratio,5.462016318832163e-06,0.21283864974975586,page-blocks
D: B + C,5.462016318832163e-06,0.30625247955322266,page-blocks
E: D + 100 K training/test splits,5.462016318832163e-06,2.0245606899261475,page-blocks
IPS,0.0001225671398889811,0.00446629524230957,pendigits
DM,0.045605705292399205,0.009987354278564453,pendigits
DR,6.564395661953288e-05,0.0070018768310546875,pendigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,6.564395661953288e-05,0.2603797912597656,pendigits
B: A + one SE rule,6.564395661953288e-05,0.1651613712310791,pendigits
C: A + theory split ratio,6.564395661953288e-05,0.518014669418335,pendigits
D: B + C,6.564395661953288e-05,0.5071086883544922,pendigits
E: D + 100 K training/test splits,6.564395661953288e-05,4.960635423660278,pendigits
IPS,0.00042455665853515477,0.0,satimage
DM,0.018502910575224938,0.01724863052368164,satimage
DR,0.0001723023181009493,0.0,satimage
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.00042455665853515477,0.20770788192749023,satimage
B: A + one SE rule,0.00042455665853515477,0.10027265548706055,satimage
C: A + theory split ratio,0.0001723023181009493,0.3755509853363037,satimage
D: B + C,0.0001723023181009493,0.3559737205505371,satimage
