name,address,stars,rating,number of ratings,total price ($),price per night ($),description,images
Old Town - Vaike Karja Apartment,Kesklinn,5,8.5,27,93,31,"Featuring a sauna and city view, Old Town - Vaike Karja Apartment is set in the heart of Tallinn. This apartment offers free private parking, a lift and free WiFi. The 2-bedroom apartment is fitted with a living room with a flat-screen TV, a fully equipped kitchen with a dishwasher and microwave, and 2 bathrooms with bath. Towels and bed linen are featured in the apartment. Popular points of interest near the apartment include Kalarand, Maiden Tower and Niguliste Museum-Concert Hall. The nearest airport is Lennart Meri Tallinn Airport, 4 km from Old Town - Vaike Karja Apartment.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/25/22/76/booking-9129145-406158619-869474.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/30/f8/ec/booking-9129145-406158703-899934.jpg?width=1020&height=1020&xhint=487&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/92/b1/26/booking-9129145-406158785-940245.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e8/8e/c7/booking-9129145-406158920-999386.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/01/69/c7/booking-9129145-403279268-543338.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Cozy apartment in the city center,Kesklinn,4,9.7,5,83,27.67,"Set in the centre of Tallinn, 1.8 km from Kalarand and 2.3 km from Russalka Beach, Cozy apartment in the city center offers free WiFi. This apartment is less than 1 km from Tallinn Town Hall and a 15-minute walk from Alexander Nevsky Cathedral. The 1-bedroom apartment has a living room with a flat-screen TV, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with a hair dryer. Towels and bed linen are offered in the apartment. Popular points of interest near the apartment include Estonian National Opera, Maiden Tower and Niguliste Museum-Concert Hall. The nearest airport is Lennart Meri Tallinn Airport, 3 km from Cozy apartment in the city center.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/8d/c6/e6/booking-10155554-487295697-055277.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/8f/69/7a/booking-10155554-487295683-977096.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/85/9b/d3/booking-10155554-487295687-022246.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6d/4a/be/booking-10155554-487295693-036810.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/cd/6e/55/booking-10155554-487295685-991860.jpg?width=1020&height=1020&xhint=386&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Old Town Apartment,Kesklinn,4,9.4,388,103,34.33,"Old Town Appartment boasts location in the Tallinn Old Town, 150 metres from the Town Hall Square. It offers accommodation in an elegant apartment with free Wi-Fi. The apartment will provide you with a flat-screen TV and a seating area. There is a full kitchenette with a dining area and a microwave. Featuring a bath, the bathroom also comes with a hairdryer. The apartment is equipped with a washing machine and ironing facilities. If you feel like visiting the surroundings, check out the Toompea Castle 700 metres away. The Lennart Meri Tallinn Airport is located 4 km from the property. Breakfast can be provided upon request.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/18/40/4a/booking-905325-105508753-image.jpg?width=1020&height=1020&xhint=600&yhint=468&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/18/40/4a/booking-905325-105508764-image.jpg?width=1020&height=1020&xhint=600&yhint=468&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/18/40/4a/booking-905325-105509274-image.jpg?width=1020&height=1020&xhint=600&yhint=468&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a0/cc/ff/booking-905325-106439199-image.jpg?width=1020&height=1020&xhint=600&yhint=468&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a0/cc/ff/booking-905325-106439135-image.jpg?width=1020&height=1020&xhint=600&yhint=468&crop=true&watermarkheight=28&watermarkpadding=10']"
Tallinn City Apartments Old Town 3 bedroom,Kesklinn,3,9.2,39,189,63,"Situated conveniently in Tallinn, Tallinn City Apartments Old Town 3 bedroom offers express check-in and check-out and private parking. Among the facilities at this property are a 24-hour front desk and luggage storage space, along with free WiFi throughout the property. The property is close to popular attractions like Maiden Tower, Estonian National Opera and Alexander Nevsky Cathedral. The spacious apartment features 3 bedrooms, a flat-screen TV with cable channels, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower. Towels and bed linen are featured in the apartment. This apartment is non-smoking and soundproof. Sightseeing tours are available close by. Popular points of interest near the apartment include Kalarand, Niguliste Museum-Concert Hall and Tallinn Town Hall. The nearest airport is Lennart Meri Tallinn Airport, 5 km from Tallinn City Apartments Old Town 3 bedroom.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/78/af/34/booking-6545768-262859461-712853.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/75/a8/50/booking-6545768-135064314-799247.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f6/6a/ef/booking-6545768-262860024-212837.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a5/58/ea/booking-6545768-262860074-351412.jpg?width=1020&height=1020&xhint=352&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/08/a8/40/booking-6545768-262859005-130716.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
City Centre Sky View Apartment on 27th Floor,Kesklinn,5,7.8,25,55,18.33,"Offering city views, City Centre Sky View Apartment on 27th Floor is an accommodation situated in Tallinn, 800 metres from Estonian National Opera and 1.4 km from Tallinn International Bus Station. It is set 2.3 km from Russalka Beach and offers free WiFi plus a lift. The property is 2.2 km from the city centre and 2.1 km from Kalarand. The apartment has 1 bedroom, a flat-screen TV with cable channels, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower. Towels and bed linen are offered in the apartment. The accommodation is non-smoking. Popular points of interest near the apartment include Maiden Tower, Niguliste Museum-Concert Hall and Tallinn Town Hall. The nearest airport is Lennart Meri Tallinn Airport, 3 km from City Centre Sky View Apartment on 27th Floor.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/a3/a7/49/booking-7027567-283631590.jpg_k=b7819027979b468b2aeaa80cc2b4aff3b87934a632a3898f89e542e9a44894ce_o=-540410.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a3/a7/49/booking-7027567-300153377.jpg_k=c65c99886e957883213cad21f8df7af2ff4f01fdb0147336620bf5c49daf8e42_o=-505397.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a3/a7/49/booking-7027567-283631631.jpg_k=0c4a43a144e0d817ab545e187397d9463c615bd275f3cca9640b548af12ddadb_o=-730715.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a3/a7/49/booking-7027567-283631615.jpg_k=cfa27b0af4deb7fa13010ded27b7297ddebea4658dcedc1be3833f1b473c34ea_o=-383058.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a3/a7/49/booking-7027567-283631626.jpg_k=e20b7fd793f0ff427c5ddfc398590524a7800c89ad5f2a68965f992b5b55c304_o=-146113.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Airhome - The Admiral House,Kesklinn,3,9.4,85,175,58.33,"Situated 1.5 km from Kalarand and 1.8 km from Russalka Beach in the centre of Tallinn, AirHome - The Admiral House features accommodation with free WiFi and free private parking. With city views, this accommodation offers a balcony. The apartment features a sauna and a lift. The spacious apartment with a terrace and sea views has 2 bedrooms, 2 living rooms, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 2 bathrooms with a hot tub. The parquet floors, fireplace and peaceful vibe add to the ambience of the room. At the apartment, there is a dressing room for guests to change in. Popular points of interest near AirHome - The Admiral House include Estonian National Opera, Maiden Tower and Niguliste Museum-Concert Hall. The nearest airport is Lennart Meri Tallinn, 4 km from the accommodation, and the property offers a paid airport shuttle service.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/e1/f5/4c/booking-4618499-500039135-843002.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/85/53/aa/booking-4618499-500041278-464110.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e8/47/ad/booking-4294405-170376017.jpg_k=e0c5f9592dbe44ec7a1faa0394500338ed55cef54c1aa00a52f2d6f85e6b1391_o=-408424.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/2a/ec/ec/booking-4618499-500039096-691788.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a2/17/69/booking-4618499-500039106-400297.jpg?width=1020&height=1020&xhint=470&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Old Town - Vana Turg Apartment,Kesklinn,5,8.6,23,93,31,"Featuring a sauna and city view, Old Town - Vana Turg Apartment is located in the centre of Tallinn. The accommodation is 1.6 km from the Kalarand and features free WiFi throughout the property. The air-conditioned apartment consists of 3 bedrooms, a living room, a fully equipped kitchen with a fridge and a kettle, and 1 bathroom with a shower and a hairdryer. A flat-screen TV is provided. Popular points of interest near the apartment include Tallinn Town Hall, Niguliste Museum-Concert Hall and Maiden Tower. The nearest airport is Lennart Meri Tallinn Airport, 5 km from Old Town - Vana Turg Apartment.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/6d/8d/55/booking-9757793-492309113-960722.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ac/08/f1/booking-9757793-492309122-025784.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/16/73/cb/booking-9757793-492309124-039823.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/cc/17/75/booking-9757793-460837267-918402.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/53/d4/30/booking-9757793-492309316-173277.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Spacious apartment in city center,Kesklinn,4,9.4,11,156,52,"Featuring a sauna and garden view, Spacious apartment in city center is situated in the heart of Tallinn. Set 2 km from Russalka Beach, the property offers a garden and free private parking. The apartment is fitted with 3 bedrooms, a flat-screen TV and a fully equipped kitchen that provides guests with a fridge, an oven, a washing machine, a dishwasher and a stovetop. Towels and bed linen are featured in the apartment. A children's playground is available for guests at the apartment to use. Popular points of interest near Spacious apartment in city center include Tallinn International Bus Station, Estonian National Opera and Kadriorg Art Museum. The nearest airport is Lennart Meri Tallinn Airport, 3 km from the accommodation.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/9e/de/1e/booking-9806469-464008874-899517.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/46/06/4d/booking-9806469-464008839-849856.jpg?width=1020&height=1020&xhint=352&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/68/1c/79/booking-9806469-464008890-930708.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e3/88/4c/booking-9806469-464008910-960902.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6c/a5/8b/booking-9806469-464008913-968804.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Airhome - Old Dominican Monastery,Kesklinn,5,9.1,38,179,59.67,"Boasting a sauna and inner courtyard view, AirHome - Old Dominican Monastery is situated right in the heart of Tallinn. The property is located 2.7 km from Russalka Beach, 600 metres from Niguliste Museum-Concert Hall and 300 metres from Tallinn Town Hall. Featuring free WiFi throughout the property, the non-smoking apartment features a sauna. The spacious apartment has 3 bedrooms, a flat-screen TV with satellite channels, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 2 bathrooms with a shower. The parquet floors, fireplace and peaceful vibe add to the ambience of the room. For added privacy, the accommodation features a private entrance. Popular points of interest near the apartment include Kalarand, Maiden Tower and Estonian National Opera. The nearest airport is Lennart Meri Tallinn, 5 km from AirHome - Old Dominican Monastery, and the property offers a paid airport shuttle service.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/8b/37/b6/booking-5347786-578578342-830772.jpg?width=1020&height=1020&xhint=691&yhint=427&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/32/62/12/booking-5347786-578578416-983461.jpg?width=1020&height=1020&xhint=691&yhint=427&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f4/c7/68/booking-5347786-578578289-687216.jpg?width=1020&height=1020&xhint=691&yhint=427&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/9f/27/c6/booking-5347786-578578324-767554.jpg?width=1020&height=1020&xhint=691&yhint=427&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a6/e1/42/booking-5347786-578578302-717855.jpg?width=1020&height=1020&xhint=691&yhint=427&crop=true&watermarkheight=28&watermarkpadding=10']"
Old Town - Kohtu Apartment,Kesklinn,4,8.4,57,93,31,"Situated 1.9 km from Kalarand and 200 metres from Alexander Nevsky Cathedral in the centre of Tallinn, Old Town - Kohtu Apartment features accommodation with free WiFi and free private parking. This apartment offers accommodation with a terrace. The property is non-smoking and is set 400 metres from Toompea Castle. The spacious apartment has 3 bedrooms, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a walk-in shower. Towels and bed linen are available in the apartment. For added privacy, the accommodation has a private entrance and soundproofing. Popular points of interest near the apartment include Tallinn Train Station, Estonian National Opera and Town Hall Square. The nearest airport is Lennart Meri Tallinn Airport, 5 km from Old Town - Kohtu Apartment.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/a8/de/80/booking-6456807-260528155.jpg_k=cf9c49fe489a6ab5adbffff343905c73000bf8f761a3a5bb5c2abd62a58dcfa4_o=-685358.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a8/de/80/booking-6456807-260526687.jpg_k=cc094d08d5514ce41dcc58ba550a0c4f09f55f866ba7953db73c9de0a670185a_o=-595734.jpg?width=1020&height=1020&xhint=386&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a8/de/80/booking-6456807-259397503.jpg_k=ba344b8b9d66bc2be31f47d0759241b8283de257d3fc507cbc1f46f85dcefc5c_o=-512951.jpg?width=1020&height=1020&xhint=487&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d6/5a/e0/booking-7909142-361206733-857442.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a8/de/80/booking-6456807-260526649.jpg_k=59d822d6fcb572111735163a97f1c9c6458601d177d9bcc5348aef3ae5c71a83_o=-890734.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
"Central Gonsiori, 2 bedroom, Cozy Apartment",Kesklinn,4,8.3,88,76,25.33,"Located 1.9 km from Kalarand and 2.2 km from Russalka Beach in the centre of Tallinn, Central Gonsiori, 2 bedroom, Cozy Apartment provides accommodation with free WiFi and free private parking. The property is close to several well-known attractions, 1.4 km from Alexander Nevsky Cathedral, 1.6 km from Toompea Castle and 1.7 km from Tallinn International Bus Station. The property is soundproof and is situated 600 metres from Estonian National Opera. The spacious apartment features 2 bedrooms, a flat-screen TV with satellite channels, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment. This apartment is allergy-free and non-smoking. A car rental service is available at the apartment. Popular points of interest near Central Gonsiori, 2 bedroom, Cozy Apartment include Maiden Tower, Niguliste Museum-Concert Hall and Tallinn Town Hall. The nearest airport is Lennart Meri Tallinn Airport, 3 km from the accommodation.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/43/ba/f8/booking-5386090-210100226.jpg_k=db2b69cc1357b4544bdcc324739f1d31955cb2a7312570e76c685a3ee96a060b_o=-133505.jpg?width=1020&height=1020&xhint=386&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/43/ba/f8/booking-5386090-210100230.jpg_k=dada48226672ec05e5b6bf326624b3175e0758b59931241e1341dc1b3f827fd5_o=-051435.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/43/ba/f8/booking-5386090-210100250.jpg_k=b554ae43c30e6255952e97be61279685cc5cf2caf45760d24185290bee54433d_o=-309438.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/43/ba/f8/booking-5386090-210100353.jpg_k=3e7e056a25309f7c3739e639409ca847cf3f34034ce2c50ca3ac9feb08d45202_o=-996135.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/43/ba/f8/booking-5386090-210100291.jpg_k=cf6e416935f90495c7f0d9b9a92c649136d5b9d74546849c5876da28e13d853d_o=-313661.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Old Town - Vana Viru Apartment,Kesklinn,3,8.9,78,93,31,"Located 1.2 km from Kalarand and 2.5 km from Russalka Beach in the centre of Tallinn, Old Town - Vana Viru Apartment provides accommodation with free WiFi and free private parking. Guests staying at this apartment have access to a fully equipped kitchen. The property is non-smoking and is set less than 1 km from Maiden Tower. The spacious apartment includes 3 bedrooms, a living room, and 1 bathroom with slippers and a walk-in shower. Towels and bed linen are provided in the apartment. Popular points of interest near the apartment include Estonian National Opera, Niguliste Museum-Concert Hall and Tallinn Town Hall. The nearest airport is Lennart Meri Tallinn Airport, 4 km from Old Town - Vana Viru Apartment.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/f6/d6/02/booking-6359698-411504000-220021.jpg?width=1020&height=1020&xhint=386&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/81/9f/ab/booking-6359698-411503996-197791.jpg?width=1020&height=1020&xhint=487&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b9/3c/93/booking-6359698-411503993-109381.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3b/e0/b4/booking-6359698-411504005-234080.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/0e/2c/fc/booking-204566468-239244859.jpg_k=c941882c66885395e53aacab17760f1f796a29f0d33414043cf4dcb1ff7ca5a9_o=-268973.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Bright Residences in Tallinn Center by EasyRentals,Kesklinn,5,8.6,247,44,14.67,"Bright Residences in Tallinn Center by EasyRentals is set in the centre of Tallinn, close to Russalka Beach, Kadriorg Art Museum and Kadriorg Palace. Free WiFi is offered and private parking is available on site. The units come with parquet floors and feature a fully equipped kitchen with a microwave, a flat-screen TV with streaming services, and a private bathroom with walk-in shower and a hair dryer. For added convenience, the property can provide towels and linens for a supplement. Popular points of interest near the apartment include Tallinn International Bus Station, Estonian National Opera and Niguliste Museum-Concert Hall. The nearest airport is Lennart Meri Tallinn Airport, 4 km from Bright Residences in Tallinn Center by EasyRentals.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/61/e8/b1/booking-8897845-379112789-077654.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/21/9a/11/booking-8897845-379478327-168015.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/2d/d1/08/booking-8897845-379114668-097905.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/66/cb/0e/booking-8897845-379478332-187771.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ed/1b/29/booking-8897845-379103668-980631.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
3 room central apartmend 90m2 parking for one car,Kesklinn,5,9.2,84,74,24.67,"Located in the centre of Tallinn, just 2.6 km from Kalarand and 1.2 km from Alexander Nevsky Cathedral, 3 room central apartmend 90m2 parking for one car provides accommodation with garden views and free WiFi. With city views, this accommodation features a patio. The accommodation offers a shared kitchen and a minimarket for guests. Featuring a DVD player, the spacious apartment has a fully equipped kitchen with a dishwasher, an oven and a microwave, a living room with a seating area and a dining area, 2 bedrooms, and 1 bathroom with a bath and a shower. Towels and bed linen are featured in the apartment. This apartment is non-smoking and soundproof. Popular points of interest near the apartment include Estonian National Opera, Toompea Castle and Tallinn International Bus Station. The nearest airport is Lennart Meri Tallinn Airport, 4 km from 3 room central apartmend 90m2 parking for one car.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/fa/b8/54/booking-6064946-239565364.jpg_k=61b1c7f653cef3bfdd89d7da570cdafe9dd39ba18e1c88907e7e05b929ea6dc7_o=-883149.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fa/b8/54/booking-6064946-239565317.jpg_k=8f0a6d1ef5f14643cfe1d657769c676095b82ae568e93f1fd8c342c2e1f84f21_o=-416491.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fa/b8/54/booking-6064946-239565311.jpg_k=8c303f159d4745cdb513d21474226f7da31cedcd1a78f64b09cc895aa8c23f0d_o=-557719.jpg?width=1020&height=1020&xhint=470&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fa/b8/54/booking-6064946-239565238.jpg_k=0b138a5d699268d985af4d920294b0dd18e41d496fce88c0c18b180f48655e20_o=-799999.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fa/b8/54/booking-6064946-239565300.jpg_k=3a0f01b8086eec294ca83362b8120ea46adcf4d42df2ac5a00763aad499b5d22_o=-631448.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Two-level Loft Apartments in Swedish style 7,Kesklinn,5,8.6,231,64,21.33,"Offering city views, Two-level Loft Apartments in Swedish style 7 is an accommodation set in Tallinn, 2.2 km from Russalka Beach and 1.3 km from Maiden Tower. Among the facilities at this property are a 24-hour front desk and a lift, along with free WiFi throughout the property. The property is 3.1 km from the city centre and 1.2 km from Kalarand. The 1-bedroom apartment is fitted with a living room with a flat-screen TV with cable channels, a fully equipped kitchen with a microwave and fridge, and 1 bathroom with walk-in shower. Towels and bed linen are offered in the apartment. The accommodation is non-smoking. Popular points of interest near the apartment include Estonian National Opera, Niguliste Museum-Concert Hall and Tallinn Train Station. The nearest airport is Lennart Meri Tallinn Airport, 4 km from Two-level Loft Apartments in Swedish style 7.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/b0/24/74/booking-5337331-518778068-749146.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/af/40/ec/booking-5337331-181860086-185590.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/81/fb/21/booking-5337331-352979764-300931.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3c/32/fa/booking-5337331-352979654-290950.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/bd/47/4c/booking-5337331-571597231-730975.jpg?width=1020&height=1020&xhint=337&yhint=522&crop=true&watermarkheight=28&watermarkpadding=10']"
