Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
\ensuremath{\tt OCV_{DM}},0.0020917128961019473,0.39499855041503906,vehicle
IPS,0.0003099588042736603,0.003000497817993164,yeast
DM,0.00182794279776162,0.01400136947631836,yeast
DR,0.0008910541926213236,0.0060024261474609375,yeast
\ensuremath{\tt OCV_{DM}},0.00182794279776162,0.48499369621276855,yeast
IPS,0.0004359107081138477,0.0009984970092773438,ecoli
DM,0.00017992500684812856,0.012002229690551758,ecoli
DR,0.0016331753542206226,0.003003358840942383,ecoli
\ensuremath{\tt OCV_{DM}},0.00017992500684812856,0.35845422744750977,ecoli
IPS,0.0010824399283892532,0.000997781753540039,glass
DM,0.0032165885080530188,0.006999492645263672,glass
DR,0.0001372808274346783,0.002020120620727539,glass
\ensuremath{\tt OCV_{DM}},0.0032165885080530188,0.33603763580322266,glass
IPS,0.0006984297517442171,0.05999898910522461,letter
DM,0.1530494804639526,0.1279916763305664,letter
DR,0.0010782601882748548,0.09299278259277344,letter
\ensuremath{\tt OCV_{DM}},0.1530494804639526,3.7510454654693604,letter
IPS,4.549523587304318e-05,0.009999275207519531,optdigits
DM,0.014720323400350864,0.06801152229309082,optdigits
DR,5.012580659031673e-05,0.03699946403503418,optdigits
\ensuremath{\tt OCV_{DM}},0.014720323400350864,1.873002052307129,optdigits
IPS,0.0015180037366921075,0.0019965171813964844,page-blocks
DM,0.000306641991886606,0.008002281188964844,page-blocks
DR,0.0001418126985775078,0.004999637603759766,page-blocks
\ensuremath{\tt OCV_{DM}},0.000306641991886606,0.3370327949523926,page-blocks
IPS,0.00024652717423360873,0.010004043579101562,pendigits
DM,0.04892651597923445,0.03299689292907715,pendigits
DR,7.001231860534672e-06,0.022000789642333984,pendigits
\ensuremath{\tt OCV_{DM}},0.04892651597923445,1.1059949398040771,pendigits
IPS,0.00016669895286489504,0.003998994827270508,satimage
DM,0.017752802853913088,0.015999555587768555,satimage
DR,0.00018263549250058152,0.009001970291137695,satimage
\ensuremath{\tt OCV_{DM}},0.017752802853913088,0.7729992866516113,satimage
IPS,0.003996983477554179,0.0,vehicle
DM,0.010085750014265385,0.004002809524536133,vehicle
DR,0.0015927646792624878,0.0019991397857666016,vehicle
\ensuremath{\tt OCV_{DM}},0.010085750014265385,0.19873309135437012,vehicle
IPS,0.0058721341463952165,0.001999378204345703,yeast
DM,3.785764952055926e-08,0.008001327514648438,yeast
DR,0.0014844226508002574,0.0019974708557128906,yeast
\ensuremath{\tt OCV_{DM}},3.785764952055926e-08,0.3110044002532959,yeast
IPS,0.0008312570356258347,0.0009884834289550781,ecoli
DM,0.0019935766735365663,0.007009744644165039,ecoli
DR,0.0003544884624009856,0.0019903182983398438,ecoli
\ensuremath{\tt OCV_{DM}},0.0019935766735365663,0.22299861907958984,ecoli
IPS,0.05813824879898094,0.0,glass
DM,0.006952089124518069,0.0050048828125,glass
DR,0.010594939561197435,0.000997304916381836,glass
\ensuremath{\tt OCV_{DM}},0.010594939561197435,0.23249053955078125,glass
IPS,3.922668768049632e-06,0.02399921417236328,letter
DM,0.15102599439535386,0.07199716567993164,letter
DR,0.0001879631977852151,0.06199932098388672,letter
